PID	Pathway Name	Corrected Pathway Name	Reviewed By	Curated By	Revision Date
HDAC_ClassII_Pathway	Signaling events mediated by HDAC Class II		"Paul A. Marks, Jef Boeke, Xiang-jiao Yang, "	Shiva Krupa	12-Jan-09
HDAC_ClassIII_Pathway	Signaling events mediated by HDAC Class III		"Paul A. Marks, Jef Boeke, Xiang-jiao Yang, "	Shiva Krupa	9-Feb-09
MET_PATHWAY	Signaling events mediated by Hepatocyte Growth Factor Receptor (c-Met)		"Ming Tsao, Ravi Salgia, Rafael Sierra, Andrea Bertotti, Paolo Comoglio"	Mhairi Skinner	10-May-10
PRLSignalingEvents	Signaling events mediated by PRL		"Zeng Qi, Adrienne D. Cox, "	Shiva Krupa	8-Feb-10
PTP1bpathway2	Signaling events mediated by PTP1B		"Jonathan Chernoff, Benjamin G. Neel, Michel Tremblay, Zhong-Yin Zhang"	Kira Anthony	8-Aug-07
kitpathway5	Signaling events mediated by Stem cell factor receptor (c-Kit)		Johan Lennartsson	Shiva Krupa	9-Nov-07
tcptp_pathway	Signaling events mediated by TCPTP		Tony Tiganis	Kira Anthony	18-Sep-10
Hedgehog_2pathway	Signaling events mediated by the Hedgehog family		"Alexandra L. Joyner, Sandra Blaess"	Kira Anthony	9-Mar-09
vegfr1_2_pathway	Signaling events mediated by VEGFR1 and VEGFR2		"Lena Claesson-Welsh, Jacques Huot, Jean-Phillipe Gratton"	"Shiva Krupa, Mhairi Skinner"	8-Aug-07
ret_pathway	Signaling events regulated by Ret tyrosine kinase		"Masahide Takahashi, Sissy Jhiang"	Shiva Krupa	4-Jan-08
p38alphabetadownstreampathway	Signaling mediated by p38-alpha and p38-beta		"Hidenori Ichijo, Matthias Gaestel  "	Kira Anthony	8-Nov-09
p38GammaDeltapathway	Signaling mediated by p38-gamma and p38-delta		Hidenori Ichijo	Kira Anthony	9-Mar-09
s1p_meta_pathway	Sphingosine 1-phosphate (S1P) pathway		"Lina M Obeid, Yusuf A Hannun, Sarah Spiegel, Edward Goetzl,"	Shiva Krupa	9-Feb-10
Ecadherin_stabilization_pathway	Stabilization and expansion of the E-cadherin adherens junction		"Alpha Yap, Frans Van Roy, Charles Yeaman"	Mhairi Skinner	18-Sep-10
