GENE 1	GENE 1 ID	GENE 2	GENE 2 ID	Untreated (Sscore)	MMS (Sscore) 	log10(conditional pvalue) 
SFL1	854307	RAD52	854976	0.258723	1.887225	3.5069
CLN1	855239	SWI4	856847	6.612683	1.701731	3.4958
TEA1	854515	ARG81	854874	0.599957	1.397618	3.4911
RGT1	853828	PTC1	851558	0.911152	0.88759	3.4903
RPD3	855386	IME2	853338	6.793183	1.892587	3.4831
ASF1	853327	PPH3	851647	1.342744	0.852416	3.4803
GAL80	854954	MIG1	852848	1.081842	0.896974	3.4785
NUT1	852726	UPC2	851799	0.657128	1.335839	3.4773
STB2	855075	XBP1	854706	0.519905	1.471735	3.4733
YMR1	853574	YDR049W		0.897595	1.026364	3.4719
YLR278C	850984	GAT3	850700	0.173947	1.956038	3.4622
SKN7	856613	KCS1	851580	5.018533	0.428001	3.4608
DAT1	854927	SLT2	856425	0.704682	1.215385	3.4599
DAL82	855402	CMK1	850568	0.630251	1.356031	3.4573
RAD51	856831	PPH3	851647	0.436732	1.690145	3.4536
CLA4	855418	SWI4	856847	14.902081	8.996408	3.4447
YER130C		PRR2	851312	0.508226	1.473316	3.4431
PTC2	856823	RPN4	851542	0.222828	1.899094	3.4398
MSN2	855053	PPZ1	854992	0.758009	1.153926	3.4348
CLN1	855239	IME1	853556	0.07954	2.040246	3.4338
MKK2	855963	NRG2	852358	1.748585	0.636324	3.4318
ELM1	853818	UME6	851788	4.245058	0.080116	3.428
MET18	854678	SLT2	856425	4.177939	0.019948	3.4182
MSS11	855200	LEU3	851172	0.727629	1.177945	3.4152
GPT2	853941	OPI1	856366	1.071794	0.880128	3.3977
RAD52	854976	MMS22	851030	0.626749	1.338576	3.3949
ROX1	856178	GAT4	854830	0.567927	1.395456	3.3892
YPL230W		CHA4	850787	0.660692	1.236259	3.3887
SFL1	854307	PTC1	851558	0.74495	1.150867	3.3853
YPL230W		RIM101	856358	0.321955	1.778763	3.381
RTG1	854087	BUB1	853100	1.225566	4.024248	3.3792
CTK3	854928	SKN7	856613	1.454851	0.792707	3.3769
XBP1	854706	SWI4	856847	3.084355	0.380733	3.3723
AFT2	855899	CLN1	855239	4.418702	0.29502	3.37
STB1	855407	SLT2	856425	0.900524	0.860642	3.3661
GAL80	854954	HCM1	850429	0.884264	0.87665	3.3653
CLB5	856237	PDR1	852871	0.798615	1.089727	3.3624
XBP1	854706	PHO4	850594	1.052683	0.887016	3.3614
SOK2	855030	RAD52	854976	3.085951	0.371012	3.3587
XBP1	854706	FZF1	852638	1.002971	0.908857	3.3571
ASF1	853327	PPZ2	852046	3.302644	0.148988	3.3499
CTK1	853718	SDP1	854693	2.292346	0.488764	3.3387
MET18	854678	STB5	856583	0.899399	0.852575	3.3361
STP2	856397	SSK22	850436	0.481644	1.456704	3.3155
PPG1	855766	RPN4	851542	1.469738	0.753726	3.3151
RTT109	850658	NDT80	856524	0.786599	1.084994	3.3115
BCK1	853350	PPT1	853023	0.632099	1.303798	3.3083
CTK3	854928	UPC2	851799	0.254469	2.413609	3.3008
RAD52	854976	PHD1	853823	0.243517	2.402032	3.2991
STB1	855407	PTC1	851558	0.788529	1.076208	3.2908
PHO80	854161	CLN1	855239	0.51382	3.268169	3.2881
RPH1	856916	UME6	851788	0.060784	2.090628	3.2806
RAD52	854976	LCB5	850964	2.134949	0.496556	3.2788
FKH2	855656	KCS1	851580	5.644847	0.922565	3.2688
CLN2	855819	GCR2	855522	1.321131	0.7948	3.2679
UPC2	851799	RTG3	852171	0.579352	1.341494	3.2645
VPS71	854966	ASF1	853327	2.082842	0.538399	3.257
SSN3	856065	YKL161C		0.879839	0.84601	3.2515
CLB5	856237	CTK3	854928	0.764188	1.087073	3.2503
CKI1	850824	RTT109	850658	0.1797	1.870091	3.2421
MEK1	854533	PBS2	853313	0.727647	1.120528	3.2411
PTC2	856823	PTC1	851558	2.721008	0.437354	3.2336
CLN1	855239	BCK1	853350	5.455002	0.772006	3.2225
DAL81	854841	RAD51	856831	0.780391	1.06147	3.2222
CTF18	855102	SWR1	851934	1.44997	0.735379	3.2187
YLR278C	850984	CTK1	853718	0.631972	1.270958	3.2127
RPD3	855386	YPK2	855130	2.141028	0.458277	3.2106
SLT2	856425	PKH1	852101	0.833364	1.002949	3.2057
SPT2	856908	RXT2	852392	0.392276	2.511227	3.1966
ASH1	853650	CTF8	856598	2.644201	0.491942	3.1949
GCR2	855522	RPI1	854687	1.545926	0.628651	3.1917
CKI1	850824	CAD1	852033	1.04235	0.839276	3.1913
YER184C		UME6	851788	1.476383	0.697616	3.1902
CTK3	854928	AKL1	852351	0.689673	1.140636	3.1878
CLA4	855418	SKN7	856613	0.721349	1.108496	3.1864
MSG5	855674	CLN1	855239	3.885372	0.063817	3.1803
CTK1	853718	YCK1	856537	0.860085	0.966644	3.1772
YOX1	854981	YBL054W		0.888084	0.813869	3.1751
MRE11	855264	DCC1	850344	2.902013	0.390891	3.1656
PTC2	856823	PHO3	852389	1.86415	0.571714	3.163
YNR047W		FUS3	852265	0.453373	2.559143	3.1628
RAD52	854976	CTK2	853450	0.256879	1.762813	3.1613
CTK3	854928	SDP1	854693	1.011963	0.859198	3.1611
PHO23	855626	SWR1	851934	13.520144	7.905606	3.1595
VPS71	854966	BUB1	853100	9.085905	3.47425	3.1568
CLN2	855819	DCC1	850344	0.555608	1.327161	3.155
DUN1	851457	PTC1	851558	1.461278	0.698476	3.1547
RAD17	854550	ELM1	853818	0.463306	2.563956	3.1497
SWI4	856847	MBP1	851503	19.70542	14.108324	3.1428
GCR2	855522	GAT3	850700	1.495552	0.656936	3.1367
STB4	855033	MAL13	853205	0.81125	1.001529	3.136
HTZ1	854150	PPZ1	854992	2.111457	0.451412	3.1344
